Ticker,Company,7D Sentiment,30D Sentiment,90D Sentiment,Raw News Sentiment,News Confidence,News Confidence Factor,Adjusted News Sentiment,Sentiment Momentum,Materiality,Materiality Factor,Sentiment Overlay,Catalyst Risk,Key News,Primary Source,Secondary Source
REGN,Regeneron,60,72,72,69.6,High,1.0,69.6,-12,Major,1.0,0.9799999999999998,70,Strong Q2 growth; FDA gene-therapy approval / pipeline progress,https://www.sec.gov/Archives/edgar/data/872589/000087258926000023/exhibit991q22026.htm,https://www.fda.gov/news-events/press-announcements/fda-approves-first-ever-gene-therapy-treatment-genetic-hearing-loss-under-national-priority-voucher
META,Meta Platforms,62,60,58,59.8,High,1.0,59.8,2,Major,1.0,0.4899999999999999,65,Large child-safety settlement clears overhang but adds cost; AI/ad optimism,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,https://www.ft.com/content/34318a35-b2ad-4f0f-af74-c5d09bfcd23e
SNY,Sanofi,55,72,70,68.0,Medium,0.85,65.3,-17,Moderate,0.7,0.5354999999999999,60,Q2 double-digit growth; guidance upgraded; competitive MS read-through,https://www.sanofi.com/en/media-room/press-releases/2026/2026-07-30-05-30-00-3335767,
RHHBY,Roche,75,72,72,72.6,High,1.0,72.6,3,Major,1.0,1.1299999999999997,60,Strong H1 CER growth; FDA-cleared Alzheimer blood test,https://www.roche.com/media/releases/med-cor-2026-07-23,https://diagnostics.roche.com/us/en/news-listing/2026/fda-elecsys-ptau217-alzheimers-blood-test.html
VRTX,Vertex Pharmaceuticals,60,82,84,78.2,High,1.0,78.2,-22,Major,1.0,1.4100000000000001,80,Q2 growth + raised guide; Crinetics acquisition; FDA/BLA progress,https://news.vrtx.com/news-releases/news-release-details/vertex-reports-second-quarter-2026-financial-results,
BMY,Bristol Myers Squibb,35,58,60,54.0,High,1.0,54.0,-23,Major,1.0,0.2,85,"Q2/outlook raised, but autoimmune CAR-T program paused on inflammatory events",https://www.sec.gov/Archives/edgar/data/14272/000001427226000018/a2026q2ex991-filing.htm,https://www.wsj.com/health/pharma/novartis-pauses-autoimmune-cell-therapy-studies-after-deaths-62113d35
NVDA,NVIDIA,72,82,85,80.9,High,1.0,80.9,-10,Major,1.0,1.5450000000000004,65,Huge AI-driven Q2 beat/guide; margin/circular-financing concerns,https://apnews.com/article/dc8d556e709b50915cca9217a60b1991,https://www.ft.com/
AMGN,Amgen,55,68,70,66.0,Medium,0.85,63.6,-13,Moderate,0.7,0.4760000000000001,55,Q2 + positive regulatory momentum; Repatha/Imdylltra,https://www.amgen.com/newsroom/press-releases,
TMO,Thermo Fisher Scientific,45,68,70,64.0,High,1.0,64.0,-23,Moderate,0.7,0.49,40,Q2 growth/organic acceleration; recent share weakness,https://ir.thermofisher.com/investors/news-events/news/news-details/2026/Thermo-Fisher-Scientific-Reports-Second-Quarter-2026-Results/,
MSFT,Microsoft,72,78,75,75.9,High,1.0,75.9,-6,Moderate,0.7,0.9065000000000002,55,AI/cloud confidence returned; disclosure/capex transparency concerns,https://www.marketwatch.com/story/microsofts-stock-seals-its-longest-winning-streak-of-the-year-as-ai-software-fears-fade-e5669f5b,
